,0,0,,
1,lichen_1.c00009_NODE_9_...region001.gbk,0.019267823,TRUE,0
1,lichen_1.c00013_NODE_13...region001.gbk,0.038043872,TRUE,0
1,lichen_1.c00014_NODE_14...region001.gbk,0.011382657,TRUE,0
1,lichen_1.c00017_NODE_17...region001.gbk,0.056055971,TRUE,0
1,lichen_1.c00020_NODE_20...region001.gbk,0.173857127,TRUE,0
1,lichen_1.c00074_NODE_74...region001.gbk,0.068005827,TRUE,0
1,lichen_1.c00123_NODE_12...region001.gbk,0.02173913,TRUE,0
10,lichen_10.scaffold_101.region001.gbk,0.013088427,TRUE,0
10,lichen_10.scaffold_1038.region001.gbk,0.068375329,TRUE,0
10,lichen_10.scaffold_1052.region001.gbk,0.057971014,TRUE,0
10,lichen_10.scaffold_1109.region001.gbk,0.057662254,TRUE,0
10,lichen_10.scaffold_1203.region001.gbk,0.103106342,TRUE,0
10,lichen_10.scaffold_121.region001.gbk,0,TRUE,0
10,lichen_10.scaffold_1242.region001.gbk,0.011070111,TRUE,0
10,lichen_10.scaffold_1340.region001.gbk,0,TRUE,0
10,lichen_10.scaffold_1389.region001.gbk,0.025641026,TRUE,0
10,lichen_10.scaffold_1432.region001.gbk,0.065217391,TRUE,0
10,lichen_10.scaffold_150.region001.gbk,0.152183409,TRUE,0
10,lichen_10.scaffold_152.region001.gbk,0.242429513,TRUE,1
10,lichen_10.scaffold_1535.region001.gbk,0.055383709,TRUE,0
10,lichen_10.scaffold_1630.region001.gbk,0.12355447,TRUE,0
10,lichen_10.scaffold_166.region001.gbk,0.04328043,TRUE,0
10,lichen_10.scaffold_172.region001.gbk,0.029411765,TRUE,0
10,lichen_10.scaffold_1728.region001.gbk,0.033685978,TRUE,0
10,lichen_10.scaffold_1745.region001.gbk,0.073091071,TRUE,0
10,lichen_10.scaffold_1746.region001.gbk,0.051546392,TRUE,0
10,lichen_10.scaffold_179.region001.gbk,0.02310231,TRUE,0
10,lichen_10.scaffold_181.region001.gbk,0.01618705,TRUE,0
10,lichen_10.scaffold_1899.region001.gbk,0.032608696,TRUE,0
10,lichen_10.scaffold_196.region001.gbk,0.03960396,TRUE,0
10,lichen_10.scaffold_2093.region001.gbk,0,TRUE,0
10,lichen_10.scaffold_2110.region001.gbk,0,TRUE,0
10,lichen_10.scaffold_2138.region001.gbk,0.014492754,TRUE,0
10,lichen_10.scaffold_2144.region001.gbk,0.007518797,TRUE,0
10,lichen_10.scaffold_250.region001.gbk,0.026201819,TRUE,0
10,lichen_10.scaffold_279.region001.gbk,0.105351881,TRUE,0
10,lichen_10.scaffold_281.region001.gbk,0.03806124,TRUE,0
10,lichen_10.scaffold_324.region001.gbk,0.141025641,TRUE,0
10,lichen_10.scaffold_331.region001.gbk,0.064227147,TRUE,0
10,lichen_10.scaffold_333.region001.gbk,0.327692702,TRUE,1
10,lichen_10.scaffold_36.region001.gbk,0.033263511,TRUE,0
10,lichen_10.scaffold_379.region001.gbk,0.043710891,TRUE,0
10,lichen_10.scaffold_407.region001.gbk,0.010869565,TRUE,0
10,lichen_10.scaffold_413.region001.gbk,0.01298652,TRUE,0
10,lichen_10.scaffold_414.region001.gbk,0.05350874,TRUE,0
10,lichen_10.scaffold_495.region001.gbk,0,TRUE,0
10,lichen_10.scaffold_50.region001.gbk,0.047081234,TRUE,0
10,lichen_10.scaffold_53.region001.gbk,0.08557765,TRUE,0
10,lichen_10.scaffold_550.region001.gbk,0.032552896,TRUE,0
10,lichen_10.scaffold_556.region001.gbk,0.040718436,TRUE,0
10,lichen_10.scaffold_57.region001.gbk,0.046926413,TRUE,0
10,lichen_10.scaffold_574.region001.gbk,0.021009811,TRUE,0
10,lichen_10.scaffold_58.region001.gbk,0.200694746,TRUE,1
10,lichen_10.scaffold_584.region001.gbk,0.055967835,TRUE,0
10,lichen_10.scaffold_625.region001.gbk,0.036796491,TRUE,0
10,lichen_10.scaffold_69.region001.gbk,0.085663134,TRUE,0
10,lichen_10.scaffold_717.region001.gbk,0.006349271,TRUE,0
10,lichen_10.scaffold_722.region001.gbk,0.006385448,TRUE,0
10,lichen_10.scaffold_73.region001.gbk,0.137193332,TRUE,0
10,lichen_10.scaffold_8.region001.gbk,0.018463126,TRUE,0
10,lichen_10.scaffold_813.region001.gbk,0.027859118,TRUE,0
10,lichen_10.scaffold_820.region001.gbk,0.223642827,TRUE,1
10,lichen_10.scaffold_9.region001.gbk,0.243636837,TRUE,1
10,lichen_10.scaffold_95.region001.gbk,0.012658228,TRUE,0
10,lichen_10.scaffold_950.region001.gbk,0.018867925,TRUE,0
10,lichen_10.scaffold_952.region001.gbk,0.005882353,TRUE,0
10,lichen_10.scaffold_96.region001.gbk,0.233580811,TRUE,1
101,lichen_101.c00005_NODE_5_...region001.gbk,0.023358393,TRUE,0
101,lichen_101.c00038_NODE_38...region001.gbk,0.048675454,TRUE,0
101,lichen_101.c00065_NODE_65...region001.gbk,0.080810839,TRUE,0
101,lichen_101.c00071_NODE_71...region001.gbk,0.030092593,TRUE,0
101,lichen_101.c00075_NODE_75...region001.gbk,0.02173913,TRUE,0
101,lichen_101.c00149_NODE_14...region001.gbk,0.055093658,TRUE,0
101,lichen_101.c00272_NODE_27...region001.gbk,0.107507086,TRUE,0
101,lichen_101.c00326_NODE_32...region001.gbk,0.148218251,TRUE,0
102,lichen_102.scaffold_1059.region001.gbk,0.19960947,TRUE,0
102,lichen_102.scaffold_1110.region001.gbk,0,TRUE,0
102,lichen_102.scaffold_1281.region001.gbk,0.25101695,TRUE,1
102,lichen_102.scaffold_1316.region001.gbk,0.010986204,TRUE,0
102,lichen_102.scaffold_1505.region001.gbk,0,TRUE,0
102,lichen_102.scaffold_1666.region001.gbk,0.022768902,TRUE,0
102,lichen_102.scaffold_1795.region001.gbk,0.016026099,TRUE,0
102,lichen_102.scaffold_234.region001.gbk,0.065536616,TRUE,0
102,lichen_102.scaffold_275.region001.gbk,0.112143993,TRUE,0
102,lichen_102.scaffold_350.region001.gbk,0.053135847,TRUE,0
102,lichen_102.scaffold_37.region001.gbk,0.023193215,TRUE,0
102,lichen_102.scaffold_496.region001.gbk,0.016201844,TRUE,0
102,lichen_102.scaffold_92.region001.gbk,0.175378875,TRUE,0
103,lichen_103.c00073_NODE_73...region001.gbk,0.068411495,TRUE,0
104,lichen_104.scaffold_1.region001.gbk,0.005063324,TRUE,0
104,lichen_104.scaffold_107.region001.gbk,0.038327526,TRUE,0
104,lichen_104.scaffold_108.region001.gbk,0.014761827,TRUE,0
104,lichen_104.scaffold_135.region001.gbk,0.020533881,TRUE,0
104,lichen_104.scaffold_138.region001.gbk,0.052705465,TRUE,0
104,lichen_104.scaffold_14.region001.gbk,0.019875275,TRUE,0
104,lichen_104.scaffold_16.region001.gbk,0.02044841,TRUE,0
104,lichen_104.scaffold_196.region001.gbk,0.011025995,TRUE,0
104,lichen_104.scaffold_213.region001.gbk,0.109837834,TRUE,0
104,lichen_104.scaffold_241.region001.gbk,0.05281103,TRUE,0
104,lichen_104.scaffold_243.region001.gbk,0.058468926,TRUE,0
104,lichen_104.scaffold_269.region001.gbk,0.03960396,TRUE,0
104,lichen_104.scaffold_27.region001.gbk,0.014699023,TRUE,0
104,lichen_104.scaffold_3.region001.gbk,0.018677204,TRUE,0
104,lichen_104.scaffold_306.region001.gbk,0.002114165,TRUE,0
104,lichen_104.scaffold_31.region001.gbk,0.006689038,TRUE,0
104,lichen_104.scaffold_311.region001.gbk,0.06271777,TRUE,0
104,lichen_104.scaffold_319.region001.gbk,0.01372549,TRUE,0
104,lichen_104.scaffold_344.region001.gbk,0.042957707,TRUE,0
104,lichen_104.scaffold_355.region001.gbk,0.032950267,TRUE,0
104,lichen_104.scaffold_37.region001.gbk,0.049953575,TRUE,0
104,lichen_104.scaffold_376.region001.gbk,0.02173913,TRUE,0
